cea-hpc/robinhood	DIVERGE	950	575	ch=1121
abrt/abrt	DIVERGE	1076	578	ch=1282
cebix/psximager	DIVERGE	778	520	ch=962
BayshoreNetworks/yextend	DIVERGE	1015	570	ch=1249
ib/xarchiver	DIVERGE	1049	538	ch=1235
gat3way/hashkill	DIVERGE	795	519	ch=1002
bingmann/flex-bison-cpp-example	DIVERGE	590	519	ch=859
armadito/armadito-av	DIVERGE	869	532	ch=1045
endaaman/tym	DIVERGE	933	533	ch=1122
dbmail/dbmail	DIVERGE	900	520	ch=1080
agordon/fastx_toolkit	DIVERGE	866	521	ch=1045
0xADE1A1DE/AssemblyLine	DIVERGE	2056	814	ch=2474
dell/libsmbios	DIVERGE	3215	1371	ch=3984
AndyA/htop-osx	DIVERGE	1821	610	ch=2029
antiprism/mpd_oled	DIVERGE	1023	684	ch=1345
fomy/destor	DIVERGE	818	540	ch=1028
cmauri/eviacam	DIVERGE	1013	614	ch=1093
Chronic-Dev/libirecovery	DIVERGE	908	507	ch=1079
ClusterLabs/libqb	DIVERGE	1043	618	ch=1161
cybermaggedon/cyberprobe	DIVERGE	951	513	ch=1122
astromatic/sextractor	DIVERGE	1013	543	ch=1172
AndyA/psips	DIVERGE	975	551	ch=1146
crackpkcs12/crackpkcs12	DIVERGE	700	517	ch=953
gregkh/bti	DIVERGE	1022	567	ch=1177
davidsiaw/luacppinterface	DIVERGE	807	518	ch=991
gnu-smalltalk/smalltalk	DIVERGE	1627	712	ch=1857
agalakhov/captdriver	DIVERGE	860	523	ch=1033
aristanetworks/EosSdk	DIVERGE	2107	596	ch=2319
FreeRADIUS/freeradius-client	DIVERGE	827	524	ch=1039
efficient/memc3	DIVERGE	1350	647	ch=1545
AOMediaCodec/oac	DIVERGE	5019	1151	ch=5674
circulosmeos/gztool	DIVERGE	1272	672	ch=1598
apache/xerces-c	DIVERGE	996	509	ch=1167
4ZM/mfterm	DIVERGE	1206	608	ch=1432
elima/FileTea	DIVERGE	987	543	ch=1152
calaos/calaos_base	DIVERGE	941	523	ch=1124
apereo/mod_auth_cas	DIVERGE	862	541	ch=1041
ahorn/cpp-channel	DIVERGE	1559	689	ch=1882
Enigma-Game/Enigma	DIVERGE	910	561	ch=1087
clsync/clsync	DIVERGE	1793	744	ch=2131
flowgrind/flowgrind	DIVERGE	1574	586	ch=1886
grisbi/grisbi	DIVERGE	990	522	ch=1158
catharsis/spotifile	DIVERGE	1541	717	ch=1900
haussli/rancid	DIVERGE	888	545	ch=1087
hamidreza-s/NanoChat	DIVERGE	804	526	ch=978
